model_id,task,format,uid,valid,qa_s_correct,qa_p_correct,qa_s,qa_p,jsem_filled_1_10,jsem_observed,jsem_normalized,judge,qa_micro,chamfer_distance,chamfer_distance_score,iou_csg,f_score_005,f_score_001,normal_consistency,no_open_edge,inverted_normal_score,non_manifold_edge_score,iou_measured,iou_inapplicable,geometry,topology
text2cad,descriptive,json,0005/00052091,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0034/00344679,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0092/00923543,True,0,0,0.0,,4,4,0.3333333333333333,0.16666666666666666,,,,,,,,,,,,,,
text2cad,descriptive,json,0024/00242859,True,2,0,0.5,,3,3,0.2222222222222222,0.3611111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0079/00790247,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0084/00843879,True,1,0,0.25,,3,3,0.2222222222222222,0.2361111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0010/00108226,True,0,0,0.0,,4,4,0.3333333333333333,0.16666666666666666,,,,,,,,,,,,,,
text2cad,descriptive,json,0026/00268031,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0022/00225399,False,0,0,0.0,,1,,0.0,0.0,,,,,,,,,,,,,,
text2cad,descriptive,json,0057/00570258,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0010/00101896,False,0,0,0.0,,1,,0.0,0.0,,,,,,,,,,,,,,
text2cad,descriptive,json,0061/00619989,True,2,0,0.5,,3,3,0.2222222222222222,0.3611111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0022/00226013,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0052/00523563,True,1,0,0.25,,3,3,0.2222222222222222,0.2361111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0036/00361447,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0070/00709862,True,1,0,0.25,,5,5,0.4444444444444444,0.3472222222222222,,,,,,,,,,,,,,
text2cad,descriptive,json,0054/00541109,True,1,0,0.25,,3,3,0.2222222222222222,0.2361111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0086/00866616,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0027/00279318,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0082/00827203,True,0,0,0.0,,2,2,0.1111111111111111,0.05555555555555555,,,,,,,,,,,,,,
text2cad,descriptive,json,0039/00391450,True,0,0,0.0,,1,1,0.0,0.0,,,,,,,,,,,,,,
text2cad,descriptive,json,0013/00135378,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0093/00934405,True,0,0,0.0,,1,1,0.0,0.0,,,,,,,,,,,,,,
text2cad,descriptive,json,0056/00568816,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0072/00728052,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0021/00210983,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,descriptive,json,0046/00460772,True,0,0,0.0,,3,3,0.2222222222222222,0.1111111111111111,,,,,,,,,,,,,,
text2cad,parametric,json,0085/00852511,True,0,1,0.0,0.125,,,,0.08333333333333333,0.08333333333333333,0.004985,0.5015000000000001,0.154,0.3245,0.0561,0.4696,1.0,1.0,1.0,True,False,0.2953,1.0
text2cad,parametric,json,0009/00099014,True,1,3,0.25,0.375,,,,0.3333333333333333,0.3333333333333333,0.022605,0.0,0.046,0.1022,0.0208,0.4218,1.0,1.0,1.0,True,False,0.12215000000000001,1.0
text2cad,parametric,json,0071/00710826,True,0,2,0.0,0.25,,,,0.16666666666666666,0.16666666666666666,0.006253,0.37470000000000003,0.2865,0.5237,0.2423,0.638,1.0,1.0,1.0,True,False,0.385375,1.0
text2cad,parametric,json,0005/00057589,True,0,0,0.0,0.0,,,,0.0,0.0,0.004378,0.5622,0.0076,0.2935,0.0315,0.5673,1.0,1.0,1.0,True,False,0.29215,1.0
text2cad,parametric,json,0015/00155951,True,0,2,0.0,0.25,,,,0.16666666666666666,0.16666666666666666,0.009168,0.08319999999999994,0.0932,0.3345,0.0642,0.3078,1.0,1.0,1.0,True,False,0.1371,1.0
text2cad,parametric,json,0013/00134405,True,0,1,0.0,0.125,,,,0.08333333333333333,0.08333333333333333,0.000895,0.9105,1.0,0.9016,0.1822,0.8354,1.0,1.0,1.0,True,False,0.732025,1.0
text2cad,parametric,json,0053/00531353,True,0,2,0.0,0.25,,,,0.16666666666666666,0.16666666666666666,0.008295,0.17049999999999998,0.0377,0.1394,0.0173,0.4533,1.0,1.0,1.0,True,False,0.1697,1.0
text2cad,parametric,json,0094/00941813,True,0,1,0.0,0.125,,,,0.08333333333333333,0.08333333333333333,0.009108,0.08920000000000006,0.0198,0.1616,0.0467,0.3999,1.0,1.0,1.0,True,False,0.1389,1.0
text2cad,parametric,json,0081/00817410,True,1,1,0.25,0.125,,,,0.16666666666666666,0.16666666666666666,0.004049,0.5951,0.1114,0.6075,0.0556,0.3957,1.0,1.0,1.0,True,False,0.28945,1.0
text2cad,parametric,json,0045/00457640,True,0,1,0.0,0.125,,,,0.08333333333333333,0.08333333333333333,0.003208,0.6792,0.0401,0.5199,0.0572,0.5941,1.0,1.0,1.0,True,False,0.34265,1.0
